Wlgth,"Reflectivity (P-Pol, 5°)",Wlgth,"GDD (P-Pol, 5°)"
915.0668,99.78601,915.0668,68.28128
915.1637,99.79237,915.1637,62.40627
915.2607,99.79847,915.2607,56.7085
915.3577,99.80433,915.3577,51.18123
915.4547,99.80996,915.4547,45.81803
915.5518,99.81537,915.5518,40.61274
915.6489,99.82056,915.6489,35.55946
915.7459,99.82556,915.7459,30.65255
915.8431,99.83036,915.8431,25.88659
915.9402,99.83497,915.9402,21.25642
916.0373,99.83941,916.0373,16.75707
916.1345,99.84368,916.1345,12.3838
916.2317,99.84778,916.2317,8.132042
916.3289,99.85174,916.3289,3.997441
916.4261,99.85554,916.4261,-0.02419
916.5234,99.8592,916.5234,-3.93686
916.6207,99.86273,916.6207,-7.74441
916.718,99.86613,916.718,-11.4505
916.8153,99.8694,916.8153,-15.0588
916.9126,99.87255,916.9126,-18.5725
917.01,99.87559,917.01,-21.995
917.1074,99.87851,917.1074,-25.3294
917.2048,99.88134,917.2048,-28.5787
917.3022,99.88406,917.3022,-31.7458
917.3996,99.88668,917.3996,-34.8334
917.4971,99.88921,917.4971,-37.8443
917.5946,99.89165,917.5946,-40.7808
917.6921,99.894,917.6921,-43.6457
917.7896,99.89627,917.7896,-46.441
917.8871,99.89846,917.8871,-49.1692
917.9847,99.90058,917.9847,-51.8325
918.0823,99.90262,918.0823,-54.4328
918.1799,99.90458,918.1799,-56.9723
918.2775,99.90649,918.2775,-59.4529
918.3752,99.90832,918.3752,-61.8763
918.4728,99.91009,918.4728,-64.2446
918.5705,99.9118,918.5705,-66.5592
918.6682,99.91345,918.6682,-68.822
918.766,99.91505,918.766,-71.0345
918.8637,99.91659,918.8637,-73.1983
918.9615,99.91808,918.9615,-75.3147
919.0593,99.91952,919.0593,-77.3854
919.1571,99.9209,919.1571,-79.4116
919.2549,99.92224,919.2549,-81.3947
919.3528,99.92354,919.3528,-83.3359
919.4507,99.92479,919.4507,-85.2365
919.5486,99.92599,919.5486,-87.0976
919.6465,99.92716,919.6465,-88.9204
919.7444,99.92829,919.7444,-90.7061
919.8424,99.92937,919.8424,-92.4556
919.9403,99.93042,919.9403,-94.1699
920.0384,99.93143,920.0384,-95.8502
920.1364,99.93241,920.1364,-97.4973
920.2344,99.93336,920.2344,-99.1121
920.3325,99.93427,920.3325,-100.696
920.4306,99.93514,920.4306,-102.248
920.5287,99.93599,920.5287,-103.772
920.6268,99.93681,920.6268,-105.266
920.7249,99.93759,920.7249,-106.732
920.8231,99.93835,920.8231,-108.171
920.9213,99.93908,920.9213,-109.583
921.0195,99.93979,921.0195,-110.969
921.1177,99.94046,921.1177,-112.33
921.216,99.94112,921.216,-113.666
921.3143,99.94174,921.3143,-114.978
921.4126,99.94234,921.4126,-116.266
921.5109,99.94292,921.5109,-117.532
921.6092,99.94348,921.6092,-118.775
921.7076,99.94401,921.7076,-119.996
921.806,99.94452,921.806,-121.196
921.9044,99.94501,921.9044,-122.375
922.0028,99.94548,922.0028,-123.534
922.1012,99.94592,922.1012,-124.673
922.1997,99.94635,922.1997,-125.792
922.2982,99.94676,922.2982,-126.892
922.3967,99.94714,922.3967,-127.974
922.4952,99.94751,922.4952,-129.037
922.5937,99.94786,922.5937,-130.083
922.6923,99.94819,922.6923,-131.111
922.7909,99.9485,922.7909,-132.122
922.8895,99.9488,922.8895,-133.116
922.9881,99.94908,922.9881,-134.093
923.0868,99.94934,923.0868,-135.054
923.1855,99.94958,923.1855,-136
923.2842,99.94981,923.2842,-136.929
923.3829,99.95001,923.3829,-137.843
923.4816,99.95021,923.4816,-138.742
923.5804,99.95039,923.5804,-139.627
923.6791,99.95055,923.6791,-140.496
923.7779,99.95069,923.7779,-141.351
923.8768,99.95082,923.8768,-142.192
923.9756,99.95094,923.9756,-143.018
924.0745,99.95104,924.0745,-143.831
924.1734,99.95112,924.1734,-144.63
924.2723,99.95119,924.2723,-145.415
924.3712,99.95125,924.3712,-146.187
924.4701,99.95129,924.4701,-146.945
924.5691,99.95131,924.5691,-147.691
924.6681,99.95133,924.6681,-148.423
924.7671,99.95132,924.7671,-149.143
924.8661,99.95131,924.8661,-149.85
924.9652,99.95128,924.9652,-150.544
925.0643,99.95124,925.0643,-151.226
925.1634,99.95118,925.1634,-151.895
925.2625,99.95111,925.2625,-152.553
925.3616,99.95103,925.3616,-153.198
925.4608,99.95094,925.4608,-153.831
925.56,99.95083,925.56,-154.452
925.6592,99.95072,925.6592,-155.062
925.7584,99.95059,925.7584,-155.661
925.8576,99.95045,925.8576,-156.248
925.9569,99.9503,925.9569,-156.824
926.0562,99.95014,926.0562,-157.39
926.1555,99.94997,926.1555,-157.946
926.2548,99.94979,926.2548,-158.492
926.3542,99.9496,926.3542,-159.028
926.4536,99.94941,926.4536,-159.555
926.5529,99.9492,926.5529,-160.074
926.6524,99.949,926.6524,-160.586
926.7518,99.94878,926.7518,-161.09
926.8513,99.94857,926.8513,-161.588
926.9507,99.94835,926.9507,-162.081
927.0502,99.94813,927.0502,-162.571
927.1498,99.9479,927.1498,-163.057
927.2493,99.94768,927.2493,-163.541
927.3489,99.94747,927.3489,-164.026
927.4485,99.94725,927.4485,-164.511
927.5481,99.94704,927.5481,-165
927.6477,99.94684,927.6477,-165.494
927.7473,99.94666,927.7473,-165.994
927.847,99.94648,927.847,-166.503
927.9467,99.94632,927.9467,-167.022
928.0464,99.94617,928.0464,-167.554
928.1462,99.94604,928.1462,-168.102
928.2459,99.94594,928.2459,-168.666
928.3457,99.94586,928.3457,-169.249
928.4455,99.9458,928.4455,-169.852
928.5453,99.94578,928.5453,-170.478
928.6452,99.94578,928.6452,-171.128
928.745,99.94583,928.745,-171.802
928.8449,99.94591,928.8449,-172.501
928.9448,99.94603,928.9448,-173.225
929.0448,99.94619,929.0448,-173.974
929.1447,99.94639,929.1447,-174.747
929.2447,99.94665,929.2447,-175.541
929.3447,99.94695,929.3447,-176.355
929.4447,99.9473,929.4447,-177.186
929.5447,99.9477,929.5447,-178.029
929.6448,99.94815,929.6448,-178.881
929.7449,99.94865,929.7449,-179.737
929.845,99.94921,929.845,-180.591
929.9451,99.94981,929.9451,-181.438
930.0452,99.95047,930.0452,-182.273
930.1454,99.95118,930.1454,-183.089
930.2456,99.95193,930.2456,-183.881
930.3458,99.95272,930.3458,-184.644
930.446,99.95356,930.446,-185.373
930.5463,99.95444,930.5463,-186.064
930.6466,99.95536,930.6466,-186.712
930.7468,99.95631,930.7468,-187.317
930.8472,99.95728,930.8472,-187.874
930.9475,99.95829,930.9475,-188.384
931.0479,99.95931,931.0479,-188.847
931.1482,99.96035,931.1482,-189.262
931.2487,99.96141,931.2487,-189.631
931.3491,99.96247,931.3491,-189.957
931.4495,99.96355,931.4495,-190.241
931.55,99.96462,931.55,-190.487
931.6505,99.96569,931.6505,-190.699
