	Simulated 
	actual 
1004.099128	-311.6386609
1004.132138	-311.9407518
1004.165151	-312.2430122
1004.198165	-312.5454416
1004.231182	-312.8480395
1004.264202	-313.1508052
1004.297223	-313.4537383
1004.330246	-313.7568381
1004.363272	-314.0601041
1004.3963	-314.3635358
1004.42933	-314.6671325
1004.462362	-314.9708937
1004.495396	-315.2748188
1004.528433	-315.5789072
1004.561472	-315.8831584
1004.594512	-316.1875717
1004.627555	-316.4921466
1004.660601	-316.7968825
1004.693648	-317.1017788
1004.726698	-317.4068348
1004.759749	-317.71205
1004.792803	-318.0174239
1004.825859	-318.3229556
1004.858918	-318.6286448
1004.891978	-318.9344907
1004.925041	-319.2404927
1004.958105	-319.5466502
1004.991172	-319.8529626
1005.024242	-320.1594292
1005.057313	-320.4660495
1005.090386	-320.7728228
1005.123462	-321.0797484
1005.15654	-321.3868257
1005.18962	-321.6940541
1005.222702	-322.001433
1005.255786	-322.3089616
1005.288873	-322.6166393
1005.321962	-322.9244655
1005.355053	-323.2324394
1005.388146	-323.5405606
1005.421241	-323.8488282
1005.454338	-324.1572416
1005.487438	-324.4658001
1005.52054	-324.7745031
1005.553644	-325.0833499
1005.58675	-325.3923397
1005.619858	-325.701472
1005.652969	-326.010746
1005.686082	-326.320161
1005.719196	-326.6297163
1005.752314	-326.9394113
1005.785433	-327.2492452
1005.818554	-327.5592173
1005.851678	-327.8693269
1005.884804	-328.1795733
1005.917932	-328.4899558
1005.951062	-328.8004736
1005.984194	-329.1111261
1006.017329	-329.4219125
1006.050465	-329.7328321
1006.083604	-330.0438841
1006.116745	-330.3550678
1006.149889	-330.6663825
1006.183034	-330.9778274
1006.216182	-331.2894018
1006.249331	-331.6011049
1006.282483	-331.9129359
1006.315638	-332.2248942
1006.348794	-332.5369789
1006.381952	-332.8491894
1006.415113	-333.1615247
1006.448276	-333.4739841
1006.481441	-333.786567
1006.514608	-334.0992724
1006.547778	-334.4120996
1006.58095	-334.7250479
1006.614123	-335.0381164
1006.6473	-335.3513043
1006.680478	-335.6646108
1006.713658	-335.9780352
1006.746841	-336.2915766
1006.780025	-336.6052343
1006.813212	-336.9190073
1006.846402	-337.232895
1006.879593	-337.5468964
1006.912787	-337.8610108
1006.945982	-338.1752374
1006.97918	-338.4895752
1007.01238	-338.8040235
1007.045583	-339.1185815
1007.078787	-339.4332482
1007.111994	-339.7480229
1007.145203	-340.0629047
1007.178414	-340.3778928
1007.211627	-340.6929862
1007.244842	-341.0081842
1007.27806	-341.3234859
1007.31128	-341.6388904
1007.344502	-341.9543968
1007.377726	-342.2700043
1007.410952	-342.585712
1007.444181	-342.901519
1007.477412	-343.2174244
1007.510645	-343.5334273
1007.54388	-343.8495269
1007.577117	-344.1657223
1007.610357	-344.4820125
1007.643598	-344.7983967
1007.676842	-345.1148739
1007.710088	-345.4314432
1007.743337	-345.7481037
1007.776587	-346.0648546
1007.80984	-346.3816948
1007.843095	-346.6986235
1007.876352	-347.0156397
1007.909611	-347.3327425
1007.942873	-347.6499309
1007.976136	-347.9672041
1008.009402	-348.284561
1008.04267	-348.6020008
1008.075941	-348.9195224
1008.109213	-349.2371249
1008.142488	-349.5548074
1008.175765	-349.8725689
1008.209044	-350.1904084
1008.242325	-350.5083249
1008.275608	-350.8263175
1008.308894	-351.1443852
1008.342182	-351.4625271
1008.375472	-351.780742
1008.408764	-352.0990291
1008.442058	-352.4173873
1008.475355	-352.7358157
1008.508654	-353.0543132
1008.541955	-353.3728789
1008.575258	-353.6915117
1008.608564	-354.0102106
1008.641871	-354.3289746
1008.675181	-354.6478027
1008.708493	-354.9666938
1008.741807	-355.2856469
1008.775124	-355.6046611
1008.808442	-355.9237351
1008.841763	-356.2428681
1008.875086	-356.562059
1008.908411	-356.8813067
1008.941739	-357.2006101
1008.975069	-357.5199682
1009.0084	-357.83938
1009.041734	-358.1588444
1009.075071	-358.4783603
1009.108409	-358.7979266
1009.14175	-359.1175423
1009.175093	-359.4372062
1009.208438	-359.7569174
1009.241785	-360.0766747
1009.275134	-360.396477
1009.308486	-360.7163232
1009.34184	-361.0362123
1009.375196	-361.356143
1009.408554	-361.6761144
1009.441915	-361.9961253
1009.475278	-362.3161746
1009.508642	-362.6362611
1009.54201	-362.9563838
1009.575379	-363.2765415
1009.60875	-363.5967331
1009.642124	-363.9169574
1009.6755	-364.2372133
1009.708878	-364.5574997
1009.742258	-364.8778154
1009.775641	-365.1981593
1009.809026	-365.5185301
1009.842413	-365.8389268
1009.875802	-366.1593483
1009.909193	-366.4797932
1009.942587	-366.8002604
1009.975983	-367.1207489
1010.009381	-367.4412573
1010.042781	-367.7617845
1010.076183	-368.0823294
1010.109588	-368.4028906
