Wlgth	Rp Σ	Wlgth	GDDrp Σ	Wlgth	Rp	Wlgth	GDDrp	Wlgth	Rp 5°	Wlgth	GDDrp 5°	Wlgth	Rp 5°	Wlgth	GDDrp 5°
650	99.3752682274847	650	-67.6219971528255	650	100	650	-60	650	99.340589507613	650	-139.438281666007	650	99.4099590533206	650	4.19428736035609
650.140521008663	99.3792301721294	650.140521008663	-87.3245586725679	650.237700721112	100	650.237700721112	-60	650.140521008663	99.3834286672974	650.140521008663	-185.158766591601	650.140521008663	99.3750318543286	650.140521008663	10.5096492464649
650.28110278786	99.3872281364603	650.28110278786	-88.1203020095319	650.475488367813	100	650.475488367813	-60	650.28110278786	99.4364630590417	650.28110278786	-193.589201436434	650.28110278786	99.3380175920349	650.28110278786	17.3485974173704
650.421745377022	99.3965108041971	650.421745377022	-74.9676287302078	650.713362971892	100	650.713362971892	-60	650.421745377022	99.4939635334278	650.421745377022	-174.393992844168	650.421745377022	99.2991535283395	650.421745377022	24.4587353837522
650.562448815613	99.4049165322518	650.562448815613	-54.96598303001	650.951324565147	100	650.951324565147	-60	650.562448815613	99.551238903625	650.562448815613	-141.37930786663	650.562448815613	99.2588092283815	650.562448815613	31.4473418066104
650.703213143131	99.411136815787	650.703213143131	-33.9877334901909	651.18937317939	100	651.18937317939	-60	650.703213143131	99.6051419812275	650.703213143131	-105.739850924974	650.703213143131	99.217509522447	650.703213143131	37.7643839445922
650.84403839911	99.4146749861625	650.84403839911	-15.6002921506963	651.427508846444	100	651.427508846444	-60	650.84403839911	99.6539734231657	650.84403839911	-73.9080553088321	650.84403839911	99.1759511749368	650.84403839911	42.7074710074394
650.984924623116	99.4156624274633	650.984924623116	-1.44800097191022	651.665731598145	100	651.665731598145	-60	650.984924623116	99.697111823731	650.984924623116	-48.3583357916133	650.984924623116	99.1350075754026	650.984924623116	45.4623338477929
651.12587185475	99.4146523872555	651.12587185475	7.98804195752267	651.904041466337	100	651.904041466337	-60	651.12587185475	99.7346161748149	651.12587185475	-29.2137541383793	651.12587185475	99.0957150920943	651.12587185475	45.1898380534247
651.266880133649	99.4124440804698	651.266880133649	12.8050039295725	652.142438482879	100	652.142438482879	-60	651.266880133649	99.7669121380811	651.266880133649	-15.5508881345282	651.266880133649	99.0592354344326	651.266880133649	41.1608959936733
651.407949499482	99.4099456074119	651.407949499482	13.3761414569067	652.380922679641	100	652.380922679641	-60	651.407949499482	99.7945825833067	651.407949499482	-6.17102637979303	651.407949499482	99.0267911328653	651.407949499482	32.9233092936065
651.549079991953	99.4080672410226	651.549079991953	10.2513430674022	652.619494088504	100	652.619494088504	-60	651.549079991953	99.8182437109194	651.549079991953	0.039167822966097	651.549079991953	98.9995762820124	651.549079991953	20.4635183118383
651.690271650801	99.4076359588585	651.690271650801	4.14765572238485	652.85815274136	100	652.85815274136	-60	651.690271650801	99.8384798772769	651.690271650801	3.98428192824489	651.690271650801	98.9786513083523	651.690271650801	4.31102951652482
651.831524515799	99.4093275004026	651.831524515799	-4.05726290932026	653.096898670115	100	653.096898670115	-60	651.831524515799	99.8558144834874	651.831524515799	6.34958345993613	651.831524515799	98.9648369020762	651.831524515799	-14.4641092785766
651.972838626756	99.4136175524642	651.972838626756	-13.3750666898653	653.335731906684	100	653.335731906684	-60	651.972838626756	99.8707011923625	651.972838626756	7.63334522798377	651.972838626756	98.9586258719833	651.972838626756	-34.3834786077143
652.114214023512	99.4207559898509	652.114214023512	-22.8057407097679	653.574652482996	100	653.574652482996	-60	652.114214023512	99.8835256317787	652.114214023512	8.18875001327301	652.114214023512	98.960130402612	652.114214023512	-53.8002314328089
652.255650745945	99.430766807796	652.255650745945	-31.4604054719579	653.81366043099	100	653.81366043099	-60	652.255650745945	99.8946118597839	652.255650745945	8.26200427212269	652.255650745945	98.9690755479722	652.255650745945	-71.1828152160384
652.397148833966	99.4434725330983	652.397148833966	-38.6692051993062	654.052755782616	100	654.052755782616	-60	652.397148833966	99.9042304630072	652.397148833966	8.0227634815833	652.397148833966	98.984839617005	652.397148833966	-85.3611738801958
652.538708327521	99.4585374837025	652.538708327521	-44.0421159648747	654.291938569839	100	654.291938569839	-60	652.538708327521	99.9126066942769	652.538708327521	7.58689293122045	652.538708327521	99.0065318650492	652.538708327521	-95.6711248609698
652.680329266591	99.4755212073592	652.680329266591	-47.4704142475765	654.531208824633	100	654.531208824633	-60	652.680329266591	99.9199279182293	652.680329266591	7.03288722556549	652.680329266591	99.0330910524053	652.680329266591	-101.973715720718
652.822011691191	99.4939328183814	652.822011691191	-49.0780003994693	654.770566578984	100	654.770566578984	-60	652.822011691191	99.9263500965285	652.822011691191	6.41346486253045	652.822011691191	99.0633867654143	652.822011691191	-104.569465661469
652.963755641372	99.5132786335828	652.963755641372	-49.1449061972211	655.01001186489	100	655.01001186489	-60	652.963755641372	99.9320032786349	652.963755641372	5.76365213324801	652.963755641372	99.0963084848144	652.963755641372	-104.05346452769
653.105561157217	99.5330985106587	653.105561157217	-48.0270046509441	655.249544714361	100	655.249544714361	-60	653.105561157217	99.9369961724395	653.105561157217	5.10637722901634	653.105561157217	99.13083321054	653.105561157217	-101.160386530904
653.247428278848	99.5529894421283	653.247428278848	-46.089295481709	655.489165159418	100	655.489165159418	-60	653.247428278848	99.9414199106072	653.247428278848	4.45632488176549	653.247428278848	99.1660686403018	653.247428278848	-96.6349158451835
653.389357046417	99.5726174051275	653.389357046417	-43.6606797250412	655.728873232094	100	655.728873232094	-60	653.389357046417	99.9453511362504	653.389357046417	3.82258621337323	653.389357046417	99.2012737380021	653.389357046417	-91.1439456634555
