Wlgth,Rp5deg,Rp19deg
400,1.803407887,87.27042587
400.115466,0.388614433,89.72395446
400.2309987,3.124773407,91.48376666
400.3465982,9.535072322,92.7745762
400.4622645,18.68107654,93.7393094
400.5779976,29.23319122,94.471054
400.6937976,39.84290095,95.03187184
400.8096646,49.52465502,95.46402317
400.9255986,57.78705002,95.7967981
401.0415997,64.5342338,96.05076468
401.1576679,69.89404109,96.2404641
401.2738034,74.07974585,96.37614998
401.3900061,77.31061928,96.46492292
401.5062762,79.77712016,96.51147132
401.6226136,81.63096014,96.51854623
401.7390184,82.98622527,96.48724787
401.8554908,83.92404187,96.41717004
401.9720307,84.4972693,96.30642742
402.0886382,84.73371031,96.15157584
402.2053134,84.63712071,95.94742329
402.3220563,84.18539825,95.68671799
402.438867,83.3249651,95.3596881
402.5557456,81.95953694,94.95339349
402.6726921,79.93004474,94.45083354
402.7897065,76.98032835,93.82973469
402.906789,72.7012493,93.06091982
403.0239395,66.45074148,92.10614172
403.1411582,57.29219161,90.91526002
403.2584451,44.21051085,89.42268487
403.3758003,27.56473466,87.5431725
403.4932238,13.10384184,85.16747724
403.6107157,12.61209004,82.15930177
403.728276,28.38790186,78.35684415
403.8459048,48.31727767,73.58541677
403.9636022,64.01159654,67.69176185
404.0813682,74.59852668,60.6126756
404.1992029,81.50742146,52.48126852
404.3171064,86.06957644,43.73995254
404.4350786,89.16150953,35.17303109
404.5531197,91.31766854,27.75338778
404.6712298,92.86205457,22.30912341
404.7894088,93.99461423,19.20922064
404.9076569,94.84189158,18.29748647
405.025974,95.48612188,19.08583734
405.1443604,95.9821044,21.02108741
405.2628159,96.36719064,23.66347764
405.3813408,96.6673401,26.74379561
405.499935,96.90088098,30.14119656
405.6185986,97.08089864,33.82858531
405.7373317,97.21678242,37.81356561
405.8561343,97.31524327,42.089316
405.9750065,97.38098933,46.60425281
406.0939484,97.41717414,51.25542381
406.2129599,97.42568806,55.90385017
406.3320413,97.40733677,60.40236842
406.4511925,97.36193284,64.62312887
406.5704136,97.2883151,68.4751284
406.6897046,97.18430128,71.90901653
406.8090657,97.04657258,74.91209104
406.9284969,96.87048156,77.49849605
407.0479982,96.64976764,79.69883642
407.1675697,96.37615522,81.55155835
407.2872115,96.03879827,83.09683088
407.4069236,95.62352027,84.37272591
407.5267061,95.11177946,85.41313525
407.646559,94.47926477,86.24683784
407.7664825,93.69400049,86.89724123
407.8864766,92.71381081,87.38245728
408.0065413,91.48298536,87.71548524
408.1266767,89.92803024,87.9043543
408.2468829,87.95256667,87.95212375
408.3671599,85.43191728,87.85665899
408.4875078,82.20899962,87.61009927
408.6079266,78.09528289,87.19791125
408.7284165,72.88415771,86.59737893
408.8489775,66.38854836,85.77531079
408.9696095,58.51608308,84.68464181
409.0903128,49.38343173,83.25946473
409.2110874,39.43347178,81.40785001
409.3319333,29.46357711,79.00167084
409.4528506,20.46660496,75.86277884
409.5738394,13.30709625,71.74604005
409.6948997,8.430709455,66.32410704
409.8160315,5.809030772,59.19194583
409.9372351,5.116290682,49.942743
410.0585103,5.968853617,38.43272317
410.1798573,8.082601496,25.40105525
410.3012761,11.3112225,13.33641229
410.4227669,15.59648893,6.412006119
410.5443296,20.87898977,7.843328303
410.6659644,27.01696613,16.73766252
410.7876712,33.75234273,29.09598174
410.9094502,40.73914037,41.32174399
411.0313015,47.61492824,51.71472706
411.153225,54.07466948,59.95265158
411.2752209,59.91407268,66.29378707
411.3972892,65.03478012,71.12952858
411.51943,69.42364278,74.81574992
411.6416433,73.12311018,77.63233265
411.7639292,76.20447141,79.7872611
411.8862878,78.74861089,81.43151924
412.0087192,80.83430586,82.67362652
412.1312234,82.53222277,83.59107904
412.2538004,83.90256327,84.23866285
412.3764504,84.99475389,84.65426892
412.4991733,85.84811261,84.86285966
412.6219694,86.49285445,84.87909773
412.7448385,86.95108235,84.70900103
412.8677809,87.23757704,84.35087051
412.9907965,87.36028511,83.79565447
413.1138855,87.32043746,83.02685901
413.2370478,87.11222731,82.02008803
413.3602836,86.72194681,80.74229966
413.483593,86.12642454,79.15090934
413.6069759,85.29051772,77.19297418
413.7304325,84.16328405,74.80488983
413.8539628,82.67228222,71.91336375
413.9775669,80.71524118,68.43892712
414.1012448,78.14819587,64.30387885
414.2249967,74.76947951,59.44707993
414.3488225,70.30086408,53.84777383
414.4727224,64.37402177,47.55831684
414.5966965,56.55090704,40.73981794
414.7207447,46.45718321,33.68524895
414.8448671,34.1942039,26.80671923
414.9690639,21.18503923,20.56877759
415.0933351,10.9685872,15.37645715
415.2176807,8.022499487,11.46302944
415.3421009,13.90253949,8.834278377
415.4665956,25.52804724,7.294541335
415.591165,38.43711019,6.530952335
415.7158091,49.89995649,6.209021027
415.840528,59.0934805,6.045295743
415.9653218,66.15352215,5.848807228
416.0901905,71.49586667,5.540111409
416.2151341,75.5327399,5.159881704
416.3401529,78.59455524,4.872979344
416.4652467,80.92670518,4.963993859
416.5904158,82.70612419,5.810350862
416.7156601,84.05904037,7.815526016
416.8409797,85.07516581,11.29784443
416.9663748,85.81799087,16.36425498
417.0918453,86.33194886,22.83317497
417.2173913,86.64729291,30.26366148
417.3430129,86.78334966,38.08541937
417.4687103,86.75062017,45.75786921
417.5944833,86.55204398,52.88049286
417.7203322,86.18363164,59.2257026
417.8462569,85.63459634,64.71399031
417.9722576,84.88706962,69.36626943
418.0983343,83.91546748,73.25848804
418.2244871,82.68558643,76.48868936
418.350716,81.15356987,79.15702431
418.4770211,79.26502239,81.35548188
418.6034026,76.95481103,83.16374682
418.7298604,74.14853985,84.64845098
418.8563946,70.76736487,85.86406529
418.9830053,66.73866951,86.85442695
419.1096926,62.0157445,87.65437686
419.2364565,56.60888535,88.29126209
419.3632971,50.62612269,88.7862081
419.4902145,44.31198711,89.15513963
419.6172088,38.0590378,89.4095614
419.7442799,32.36094442,89.55712003
419.8714281,27.69661194,89.60196752
419.9986533,24.38426118,89.54494066
420.1259556,22.48291752,89.38356109
420.2533351,21.79683643,89.11185035
420.3807919,21.96837094,88.71994143
420.508326,22.5957407,88.19345419
420.6359376,23.32092371,87.51258645
420.7636266,23.87139002,86.65085537
420.8913931,24.0679057,85.57341001
421.0192373,23.81805543,84.2348326
421.1471591,23.11044344,82.57637555
421.2751587,22.01724648,80.52268715
421.4032362,20.70609703,77.97835802
421.5313915,19.45497902,74.82525643
421.6596248,18.65428406,70.92294407
421.7879362,18.77109353,66.11695741
421.9163256,20.2537847,60.26378158
422.0447933,23.38624009,53.28603557
422.1733392,28.15499032,45.27141022
422.3019634,34.21901961,36.60990099
422.4306661,41.01804789,28.10672257
422.5594472,47.95597048,20.92884963
422.6883068,54.55385121,16.25727257
422.8172451,60.51413154,14.75741045
422.9462621,65.70731729,16.26202002
423.0753578,70.12286597,19.93555175
423.2045323,73.81806808,24.73098758
423.3337858,76.87985213,29.76620009
423.4631182,79.40130885,34.46188651
423.5925297,81.46945614,38.50914321
423.7220203,83.16009119,41.78021706
423.8515901,84.53654954,44.24711889
423.9812392,85.65035012,45.92620253
424.1109676,86.54258046,46.84584836
424.2407754,87.2454305,47.02976839
424.3706627,87.78359927,46.48987783
424.5006295,88.17546476,45.22526836
424.630676,88.43398724,43.22613439
424.7608022,88.56734944,40.48342408
424.8910082,88.57934541,37.00659831
425.021294,88.46952611,32.85285176
425.1516597,88.23309863,28.17008742
425.2821055,87.86056114,23.24979739
425.4126313,87.33703738,18.57102339
425.5432373,86.64125351,14.79430186
425.6739234,85.74407826,12.65417957
425.8046899,84.60652936,12.73879614
425.9355367,83.17714816,15.24535911
426.066464,81.38869343,19.8739463
426.1974718,79.15427652,25.94851553
426.3285602,76.36351014,32.67848152
426.4597292,72.88028226,39.39037693
426.590979,68.54594927,45.63310141
426.7223096,63.19583223,51.1712647
426.8537211,56.70318574,55.92664708
426.9852136,49.07032971,59.91480511
427.1167871,40.57850185,63.196929
427.2484417,31.95783835,65.84947743
427.3801775,24.43040977,67.94741615
427.5119945,19.41056072,69.55607901
427.6438929,17.86033432,70.72784396
427.7758727,19.75784474,71.50117733
427.907934,24.1800851,71.90061322
428.0400769,29.87667224,71.93687109
428.1723014,35.79474437,71.60667705
428.3046076,41.27372374,70.89205139
428.4369956,45.99573791,69.75894198
428.5694654,49.86118242,68.15519616
428.7020173,52.88194503,66.00806381
428.8346511,55.11346614,63.22186463
428.967367,56.61796053,59.67741038
429.1001651,57.44672271,55.23674193
429.2330455,57.63259471,49.76043892
429.3660081,57.18740718,43.15068318
429.4990532,56.10189442,35.43956632
429.6321807,54.34738604,26.93872278
429.7653908,51.87999688,18.42633297
429.8986836,48.6495354,11.2395968
430.032059,44.61721018,7.021951172
430.1655172,39.78820268,7.007329629
430.2990583,34.26561636,11.26725481
430.4326824,28.32645547,18.65118767
430.5663894,22.49979195,27.49120471
430.7001795,17.58817277,36.37132314
430.8340528,14.54162722,44.44528803
430.9680094,14.14396395,51.36725059
431.1020493,16.64521181,57.09819035
431.2361726,21.6145933,61.74320202
431.3703793,28.15009489,65.45378163
431.5046697,35.26949313,68.37998891
431.6390436,42.20635575,70.65132757
431.7735013,48.50238661,72.37163734
431.9080428,53.95855087,73.61984583
432.0426681,58.54246699,74.4525868
432.1773774,62.30820741,74.90690413
432.3121708,65.34356828,75.00232583
432.4470482,67.74075645,74.74206741
432.5820098,69.58226143,74.11332997
432.7170557,70.93516391,73.08677339
432.852186,71.84955088,71.61539845
432.9874006,72.35857281,69.63340584
433.1226998,72.47882992,67.05635467
433.2580836,72.21040722,63.78553424
433.393552,71.5361995,59.72252419
433.5291051,70.4203324,54.80495564
433.6647431,68.80561271,49.080082
433.800466,66.61016064,42.83017645
433.9362738,63.72390037,36.72838005
434.0721667,60.00682501,31.90526616
434.2081448,55.29369521,29.69935755
434.3442081,49.41535889,31.00565477
434.4803566,42.25636881,35.6586805
434.6165906,33.87941025,42.50516703
434.75291,24.74113071,50.10860068
434.889315,15.94992008,57.38245492
435.0258056,9.32139643,63.76768888
435.1623818,6.83094669,69.10496857
435.2990439,9.477963909,73.44951662
435.4357918,16.53058717,76.93969017
435.5726257,26.03918237,79.72764891
435.7095456,36.02661215,81.9502584
435.8465516,45.21794792,83.72051706
435.9836438,53.07200912,85.12780486
436.1208223,59.51331084,86.2411741
436.2580871,64.68066718,87.1131704
436.3954383,68.77732082,87.78323996
436.5328761,72.0014715,88.28046098
436.6704004,74.52134334,88.62560156
436.8080115,76.47055468,88.83258791
436.9457093,77.95118068,88.90947374
437.0834939,79.03883097,88.85898031
437.2213655,79.78748946,88.67864543
437.3593241,80.23337629,88.3605847
437.4973697,80.3976957,87.8908287
437.6355025,80.28833758,87.24815289
437.7737226,79.90064733,86.40225799
437.91203,79.21738007,85.31108208
438.0504249,78.20797695,83.91692785
438.1889072,76.8274063,82.14097649
438.3274772,75.01510681,79.87567129
438.4661348,72.69525027,76.97452374
438.6048801,69.7809559,73.23950597
438.7437133,66.18773576,68.4083693
438.8826344,61.86559709,62.150448
439.0216435,56.86323286,54.09495198
439.1607407,51.43350977,43.94765744
439.299926,46.15673454,31.79456929
439.4391997,41.977611,18.66336866
439.5785616,39.98007885,7.070240959
439.718012,40.86227245,0.556480698
439.8575509,44.47526555,1.486625516
439.9971783,49.90425235,9.036867784
440.1368945,56.01364149,20.06896755
440.2766994,61.92959612,31.56495331
440.4165931,67.18249515,41.83930819
440.5565758,71.61792261,50.34780814
440.6966475,75.25800404,57.13798248
440.8368083,78.19882497,62.46648453
440.9770582,80.55376812,66.61798871
441.1173975,82.42810214,69.84015607
441.257826,83.91027498,72.32952739
441.3983441,85.07081147,74.23567106
441.5389516,85.96409894,75.66998886
441.6796488,86.63089079,76.71430847
441.8204356,87.10063501,77.4279011
441.9613123,87.39331612,77.85282667
442.1022788,87.52073484,78.01788986
442.2433352,87.48722621,77.94155597
442.3844817,87.28981859,77.6341462
442.5257183,86.91780156,77.09959125
442.6670452,86.3516128,76.33699494
442.8084623,85.56087129,75.34225347
442.9499698,84.50127103,74.10998562
443.0915678,83.10989444,72.6360398
443.2332564,81.29830789,70.92082736
443.3750355,78.94259909,68.97363508
443.5169055,75.86948175,66.81782201
443.6588662,71.83831164,64.49633107
443.8009179,66.52208471,62.07623252
443.9430605,59.500985,59.65023616
444.0852942,50.31090187,57.33272799
444.2276191,38.65337567,55.24860198
444.3700353,24.95449322,53.51543524
444.5125428,11.32327314,52.22287035
444.6551417,2.001902703,51.41559775
444.7978321,1.230463176,51.08597302
444.9406142,9.286313004,51.17863912
445.0834879,22.22175102,51.60463962
445.2264535,35.69799172,52.25939139
445.3695109,47.39225401,53.03893436
445.5126603,56.72368296,53.85118504
445.6559017,63.91118032,54.62159835
445.7992352,69.38499908,55.29439117
445.942661,73.55304532,55.8310573
446.0861792,76.7397832,56.20770073
446.2297897,79.18693662,56.41221309
446.3734927,81.07004934,56.44183138
446.5172883,82.51550336,56.30125118
446.6611766,83.61408746,56.00124266
446.8051576,84.43090963,55.55758914
446.9492315,85.01237778,54.99010572
447.0933983,85.39103348,54.32148339
447.2376582,85.58886498,53.57574006
447.3820112,85.61955309,52.77615008
447.5264574,85.48996597,51.94266539
447.6709969,85.20112336,51.08901175
447.8156298,84.74878875,50.21979244
447.9603562,84.12381501,49.32800018
448.1051762,83.3123606,48.39328059
448.2500898,82.29611024,47.38111414
448.3950972,81.0526795,46.24285025
448.5401985,79.55646113,44.91633856
448.6853937,77.78028271,43.32685835
448.8306829,75.69837699,41.38822257
448.9760662,73.29126603,39.00439793
449.1215438,70.55311005,36.07284929
449.2671156,67.50165258,32.49231921
449.4127819,64.18981641,28.1802495
449.5585427,60.71610391,23.10876674
449.704398,57.22864082,17.37203362
449.850348,53.91649856,11.29618646
449.9963928,50.9842582,5.579993668
450.1425324,48.61294749,1.384364209
450.288767,46.91963659,0.181969239
450.4350966,45.93211336,3.190317126
450.5815213,45.58906679,10.58963469
450.7280413,45.76343928,21.22081041
450.8746566,46.29656577,33.17570827
451.0213674,47.02955669,44.73665817
451.1681736,47.82414056,54.89185118
451.3150754,48.571996,63.30202086
451.462073,49.1956159,70.03738414
451.6091663,49.64461919,75.34110785
451.7563555,49.89055267,79.49063418
451.9036406,49.92193835,82.73643543
452.0510219,49.74027911,85.28355168
452.1984993,49.35708264,87.29205861
452.346073,48.79162043,88.88403568
452.493743,48.06899647,90.15158294
452.6415094,47.21808515,91.16389438
452.7893724,46.26898422,91.97289683
452.9373321,45.2498069,92.61753065
453.0853884,44.18289083,93.12691277
453.2335416,43.08077495,93.52263138
453.3817917,41.94249862,93.82037995
453.5301389,40.75082012,94.03108611
453.6785831,39.47079992,94.16164375
453.8271246,38.04991355,94.21531572
453.9757633,36.41960543,94.19183867
454.1244995,34.49816199,94.08722845
454.2733331,32.19514099,93.89325098
454.4222643,29.41849038,93.59648845
454.5712932,26.08706707,93.17690144
454.7204199,22.15363273,92.6057869
454.8696445,17.64623213,91.84314388
455.018967,12.737066,90.83491625
455.1683876,7.840770605,89.51201824
455.3179064,3.714108871,87.79698496
455.4675235,1.4642599,85.63336031
455.6172389,2.311527442,83.06856414
455.7670527,7.043207331,80.42107723
455.9169651,15.44686005,78.45151904
456.0669762,26.26537467,78.16312836
456.217086,37.80757571,79.97068707
