Wlgth	Rp 7°	Wlgth	GDDrp 7°
850	99.4891881863556	850	-97.0592979596472
850.103354235787	99.4910305595376	850.103354235787	-136.559763140363
850.206733608978	99.4961134833111	850.206733608978	-172.915322285677
850.310138128746	99.5042233922046	850.310138128746	-204.042084252516
850.413567804268	99.5150460660571	850.413567804268	-228.51605212489
850.517022644723	99.5281943745964	850.517022644723	-245.671085237861
850.620502659297	99.5432391391008	850.620502659297	-255.561511145869
850.72400785718	99.5597389956043	850.72400785718	-258.822397303552
850.827538247566	99.5772660680294	850.827538247566	-256.476853798961
850.931093839654	99.5954255658705	850.931093839654	-249.738362045224
851.034674642646	99.6138687219774	851.034674642646	-239.842815422893
851.138280665751	99.6322995114396	851.138280665751	-227.927674664403
851.24191191818	99.6504762287972	851.24191191818	-214.960644307663
851.34556840915	99.6682092641836	851.34556840915	-201.710570784444
851.449250147883	99.6853564003335	851.449250147883	-188.749007679804
851.552957143603	99.701816763536	851.552957143603	-176.470677516691
851.656689405541	99.7175243003331	851.656689405541	-165.123089199443
851.760446942931	99.7324413867377	851.760446942931	-154.838375558892
851.864229765013	99.7465529468668	851.864229765013	-145.663078404545
851.96803788103	99.7598612788053	851.96803788103	-137.583706804728
852.07187130023	99.7723816579344	852.07187130023	-130.54733833026
852.175730031866	99.7841387048017	852.175730031866	-124.477406695879
852.279614085194	99.7951634559489	852.279614085194	-119.285267957177
852.383523469477	99.805491052189	852.383523469477	-114.878304860648
852.48745819398	99.8151589513235	852.48745819398	-111.165330419478
852.591418267975	99.824205574859	852.591418267975	-108.059968653525
852.695403700735	99.8326693063687	852.695403700735	-105.482574505209
852.799414501542	99.8405877697062	852.799414501542	-103.361135976408
852.903450679679	99.847997326412	852.903450679679	-101.631494467722
853.007512244436	99.8549327422585	853.007512244436	-100.237129980526
853.111599205104	99.8614269823943	853.111599205104	-99.1286870136203
853.215711570983	99.8675111027517	853.215711570983	-98.2633628899981
853.319849351374	99.8732142122668	853.319849351374	-97.6042401533061
853.424012555585	99.8785634861086	853.424012555585	-97.1196157106936
853.528201192926	99.8835842146745	853.528201192926	-96.7823589715035
853.632415272715	99.8882998767502	853.632415272715	-96.5693171660855
853.73665480427	99.892732228095	853.73665480427	-96.4607765961036
853.840919796919	99.8969013989555	853.840919796919	-96.4399824394304
853.94521025999	99.9008259957389	853.94521025999	-96.4927159149581
854.049526202817	99.9045232034135	854.049526202817	-96.6069253799025
854.153867634739	99.9080088862138	854.153867634739	-96.7724067616982
854.2582345651	99.9112976849949	854.2582345651	-96.9805282498482
854.362627003247	99.9144031101567	854.362627003247	-97.223994133998
854.467044958533	99.9173376294819	854.467044958533	-97.4966428974688
854.571488440316	99.9201127505441	854.571488440316	-97.7932750435425
854.675957457956	99.9227390975687	854.675957457956	-98.1095065674672
854.780452020819	99.9252264827871	854.780452020819	-98.4416444415393
854.884972138278	99.9275839724364	854.884972138278	-98.7865809242314
854.989517819706	99.9298199476269	854.989517819706	-99.141703919285
855.094089074485	99.9319421603487	855.094089074485	-99.5048209888673
855.198685911998	99.9339577849118	855.198685911998	-99.8740949629483
855.303308341635	99.9358734651251	855.303308341635	-100.247989384806
855.407956372789	99.9376953575225	855.407956372789	-100.625222292213
855.512630014859	99.939429170934	855.512630014859	-101.004727058438
855.617329277247	99.9410802026919	855.617329277247	-101.385619210373
855.722054169362	99.9426533717459	855.722054169362	-101.767168306178
855.826804700615	99.9441532489447	855.826804700615	-102.148774095636
855.931580880424	99.9455840847243	855.931580880424	-102.529946306245
856.036382718209	99.9469498344286	856.036382718209	-102.910287499244
856.141210223396	99.9482541814658	856.141210223396	-103.289478526123
856.246063405417	99.9495005584926	856.246063405417	-103.667266188371
856.350942273705	99.9506921667989	856.350942273705	-104.043452764952
856.455846837702	99.9518319940543	856.455846837702	-104.417887123667
856.560777106852	99.9529228305601	856.560777106852	-104.790457176345
856.665733090603	99.9539672841407	856.665733090603	-105.161083474696
856.77071479841	99.954967793795	856.77071479841	-105.529713774934
856.875722239731	99.9559266422177	856.875722239731	-105.896318425443
856.980755424029	99.9568459672915	856.980755424029	-106.260886454088
857.08581436077	99.9577277726393	857.08581436077	-106.623422250479
857.190899059429	99.9585739373214	857.190899059429	-106.983942754349
857.296009529482	99.9593862247508	857.296009529482	-107.342475074697
857.40114578041	99.9601662908953	857.40114578041	-107.699054475573
857.506307821699	99.9609156918295	857.506307821699	-108.053722674083
857.611495662841	99.9616358906911	857.611495662841	-108.406526404285
857.71670931333	99.9623282640934	857.71670931333	-108.757516207551
857.821948782668	99.9629941080414	857.821948782668	-109.106745415846
857.927214080359	99.963634643392	857.927214080359	-109.454269299265
858.032505215912	99.9642510208976	858.032505215912	-109.800144353518
858.137822198843	99.9648443258681	858.137822198843	-110.144427706511
858.243165038669	99.965415582483	858.243165038669	-110.487176626296
858.348533744914	99.9659657577819	858.348533744914	-110.828448115234
858.453928327106	99.966495765361	858.453928327106	-111.168298577454
858.559348794779	99.9670064687981	858.559348794779	-111.506783548549
858.66479515747	99.9674986848295	858.66479515747	-111.843957478049
858.770267424721	99.967973186298	858.770267424721	-112.179873556628
858.875765606079	99.9684307048894	858.875765606079	-112.514583581172
858.981289711096	99.9688719336771	858.981289711096	-112.848137851751
859.086839749329	99.9692975294855	859.086839749329	-113.180585095523
859.192415730337	99.9697081150911	859.192415730337	-113.51197241324
859.298017663688	99.9701042812701	859.298017663688	-113.842345244682
859.403645558951	99.970486588706	859.403645558951	-114.171747349893
859.509299425701	99.9708555697687	859.509299425701	-114.500220803519
