Wlgth	Rp _	Wlgth	GDDrs _
840.5391815	99.99904156	840.5391815	-244.4528262
840.6891852	99.9990515	840.6891852	-243.7721243
840.8392425	99.99906102	840.8392425	-243.096635
840.9893534	99.99907012	840.9893534	-242.4269141
841.1395179	99.9990788	841.1395179	-241.7635063
841.289736	99.99908707	841.289736	-241.1069441
841.4400078	99.99909492	841.4400078	-240.4577477
841.5903333	99.99910235	841.5903333	-239.8164232
841.7407125	99.99910937	841.7407125	-239.1834629
841.8911454	99.99911598	841.8911454	-238.5593437
842.0416321	99.99912217	842.0416321	-237.9445267
842.1921727	99.99912794	842.1921727	-237.3394567
842.342767	99.9991333	842.342767	-236.744561
842.4934153	99.99913824	842.4934153	-236.1602489
842.6441174	99.99914277	842.6441174	-235.5869113
842.7948735	99.99914688	842.7948735	-235.0249197
842.9456835	99.99915058	842.9456835	-234.4746258
843.0965475	99.99915386	843.0965475	-233.9363608
843.2474655	99.99915671	843.2474655	-233.410435
843.3984375	99.99915914	843.3984375	-232.897137
843.5494636	99.99916115	843.5494636	-232.3967336
843.7005438	99.99916273	843.7005438	-231.9094689
843.8516781	99.99916388	843.8516781	-231.4355641
844.0028666	99.9991646	844.0028666	-230.9752171
844.1541093	99.99916488	844.1541093	-230.5286021
844.3054062	99.99916471	844.3054062	-230.0958694
844.4567573	99.9991641	844.4567573	-229.6771448
844.6081627	99.99916304	844.6081627	-229.2725296
844.7596224	99.99916153	844.7596224	-228.8821003
844.9111365	99.99915955	844.9111365	-228.5059085
845.0627049	99.9991571	845.0627049	-228.1439806
845.2143277	99.99915418	845.2143277	-227.7963179
845.3660049	99.99915077	845.3660049	-227.4628963
845.5177365	99.99914688	845.5177365	-227.1436667
845.6695226	99.9991425	845.6695226	-226.8385544
845.8213633	99.99913761	845.8213633	-226.54746
845.9732585	99.99913221	845.9732585	-226.2702586
846.1252082	99.99912629	846.1252082	-226.0068007
846.2772125	99.99911985	846.2772125	-225.7569121
846.4292715	99.99911287	846.4292715	-225.5203941
846.5813851	99.99910536	846.5813851	-225.297024
846.7335534	99.99909729	846.7335534	-225.0865554
846.8857764	99.99908867	846.8857764	-224.8887184
847.0380541	99.99907949	847.0380541	-224.7032204
847.1903867	99.99906974	847.1903867	-224.5297462
847.342774	99.99905943	847.342774	-224.367959
847.4952161	99.99904853	847.4952161	-224.2175008
847.6477131	99.99903706	847.6477131	-224.0779929
847.800265	99.99902501	847.800265	-223.9490371
847.9528719	99.99901238	847.9528719	-223.8302159
848.1055336	99.99899918	848.1055336	-223.721094
848.2582504	99.99898541	848.2582504	-223.6212184
848.4110222	99.99897108	848.4110222	-223.5301203
848.563849	99.9989562	848.563849	-223.4473152
848.7167308	99.99894078	848.7167308	-223.3723046
848.8696678	99.99892485	848.8696678	-223.3045768
849.0226599	99.99890843	849.0226599	-223.2436082
849.1757071	99.99889155	849.1757071	-223.1888643
849.3288096	99.99887424	849.3288096	-223.1398008
849.4819672	99.99885655	849.4819672	-223.0958653
849.6351801	99.99883851	849.6351801	-223.0564979
849.7884483	99.99882018	849.7884483	-223.0211323
849.9417718	99.99880163	849.9417718	-222.9891975
850.0951506	99.99878291	850.0951506	-222.9601182
850.2485848	99.99876411	850.2485848	-222.9333158
850.4020744	99.9987453	850.4020744	-222.9082092
850.5556194	99.99872658	850.5556194	-222.8842154
850.7092199	99.99870804	850.7092199	-222.8607502
850.8628758	99.99868978	850.8628758	-222.8372278
851.0165873	99.99867191	851.0165873	-222.8130617
851.1703543	99.99865455	851.1703543	-222.787664
851.3241769	99.99863781	851.3241769	-222.7604459
851.4780551	99.99862182	851.4780551	-222.7308169
851.631989	99.9986067	851.631989	-222.6981848
851.7859785	99.99859257	851.7859785	-222.661956
851.9400237	99.99857954	851.9400237	-222.6215349
852.0941246	99.99856774	852.0941246	-222.5763246
852.2482813	99.99855727	852.2482813	-222.5257275
852.4024938	99.99854824	852.4024938	-222.4691464
852.5567621	99.99854072	852.5567621	-222.4059861
852.7110862	99.99853481	852.7110862	-222.3356552
852.8654663	99.99853055	852.8654663	-222.2575692
853.0199022	99.99852801	853.0199022	-222.1711529
853.1743941	99.9985272	853.1743941	-222.0758441
853.328942	99.99852815	853.328942	-221.9710972
853.4835458	99.99853085	853.4835458	-221.8563869
853.6382057	99.99853529	853.6382057	-221.7312119
853.7929216	99.99854141	853.7929216	-221.5950983
853.9476937	99.99854917	853.9476937	-221.4476028
854.1025218	99.99855851	854.1025218	-221.2883158
854.2574062	99.99856934	854.2574062	-221.1168634
854.4123467	99.99858156	854.4123467	-220.932909
854.5673434	99.99859508	854.5673434	-220.736155
854.7223963	99.99860979	854.7223963	-220.526343
854.8775056	99.99862557	854.8775056	-220.3032544
855.0326711	99.99864231	855.0326711	-220.0667102
855.187893	99.99865989	855.187893	-219.8165702
855.3431712	99.99867819	855.3431712	-219.5527331
855.4985059	99.99869709	855.4985059	-219.2751351
855.653897	99.99871649	855.653897	-218.9837494
855.8093445	99.99873627	855.8093445	-218.6785855
855.9648485	99.99875633	855.9648485	-218.3596885
856.1204091	99.99877657	856.1204091	-218.027138
856.2760262	99.99879691	856.2760262	-217.6810485
856.4316999	99.99881726	856.4316999	-217.3215682
856.5874302	99.99883755	856.5874302	-216.9488791
856.7432171	99.99885771	856.7432171	-216.5631966
856.8990607	99.99887767	856.8990607	-216.1647698
857.054961	99.99889739	857.054961	-215.753881
857.2109181	99.9989168	857.2109181	-215.3308456
857.3669319	99.99893589	857.3669319	-214.8960125
857.5230026	99.99895459	857.5230026	-214.4497636
857.67913	99.9989729	857.67913	-213.9925141
857.8353144	99.99899077	857.8353144	-213.524712
857.9915556	99.9990082	857.9915556	-213.0468381
858.1478537	99.99902516	858.1478537	-212.5594055
858.3042088	99.99904164	858.3042088	-212.0629597
858.4606209	99.99905763	858.4606209	-211.5580776
858.61709	99.99907313	858.61709	-211.0453672
858.7736162	99.99908813	858.7736162	-210.5254672
858.9301994	99.99910264	858.9301994	-209.9990457
859.0868397	99.99911664	859.0868397	-209.4667998
859.2435372	99.99913015	859.2435372	-208.9294547
859.4002919	99.99914316	859.4002919	-208.3877624
859.5571038	99.99915569	859.5571038	-207.8425006
859.7139729	99.99916774	859.7139729	-207.294472
859.8708992	99.99917932	859.8708992	-206.7445022
860.0278829	99.99919042	860.0278829	-206.1934392
860.1849239	99.99920107	860.1849239	-205.6421513
860.3420222	99.99921127	860.3420222	-205.091526
860.499178	99.99922103	860.499178	-204.542468
860.6563912	99.99923036	860.6563912	-203.9958982
860.8136618	99.99923927	860.8136618	-203.4527513
860.9709899	99.99924776	860.9709899	-202.9139745
861.1283756	99.99925586	861.1283756	-202.3805255
861.2858188	99.99926355	861.2858188	-201.8533708
861.4433195	99.99927086	861.4433195	-201.3334835
861.6008779	99.9992778	861.6008779	-200.8218417
861.758494	99.99928437	861.758494	-200.3194262
861.9161677	99.99929058	861.9161677	-199.8272187
862.0738991	99.99929643	862.0738991	-199.3462
862.2316882	99.99930195	862.2316882	-198.8773472
862.3895352	99.99930713	862.3895352	-198.4216324
862.5474399	99.99931198	862.5474399	-197.9800204
862.7054025	99.99931651	862.7054025	-197.5534662
862.8634229	99.99932072	862.8634229	-197.1429137
863.0215013	99.99932463	863.0215013	-196.7492927
863.1796375	99.99932824	863.1796375	-196.3735176
863.3378318	99.99933155	863.3378318	-196.0164851
863.496084	99.99933456	863.496084	-195.6790716
863.6543942	99.9993373	863.6543942	-195.3621323
863.8127626	99.99933975	863.8127626	-195.066498
863.971189	99.99934193	863.971189	-194.792974
864.1296735	99.99934383	864.1296735	-194.5423378
864.2882162	99.99934547	864.2882162	-194.315337
864.446817	99.99934685	864.446817	-194.112688
864.6054761	99.99934796	864.6054761	-193.9350738
864.7641935	99.99934881	864.7641935	-193.7831423
864.9229691	99.99934941	864.9229691	-193.6575046
865.081803	99.99934976	865.081803	-193.5587335
865.2406953	99.99934986	865.2406953	-193.4873618
865.3996459	99.99934971	865.3996459	-193.4438806
865.558655	99.99934931	865.558655	-193.4287385
865.7177225	99.99934867	865.7177225	-193.4423394
865.8768485	99.99934779	865.8768485	-193.4850418
