wl,GDp,GDs
1133.66896,61.53399,56.04123
1138.45237,74.23988,64.62101
1143.27632,105.59297,85.68196
1148.14133,131.72801,132.86579
1153.04792,106.96989,131.35434
1157.99662,66.89626,79.2166
1162.98798,43.78977,48.33109
1168.02256,32.39685,31.44706
1173.10092,34.88466,32.59923
1178.22363,37.56697,38.03702
1183.39128,41.77887,42.05169
1188.60446,47.76415,47.9679
1193.86377,50.16643,51.45671
1199.16983,50.03028,52.40915
1204.52327,50.46891,53.25138
